Fan Club MkIV data log started on Sun 05 May 2019 18:30:07  using profile "Prov. Cory Hall Array" with up to 4 fans per module.
Modules: |1: A1 - "00:80:e1:38:00:2a" | 2: A2 - "00:80:e1:45:00:46" | 
Column headers are of the form MODULE#-FAN# with all RPMs and then all DCs
Time (s),1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,
2.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.4e+01s,-69,-69,-69,-69,1170,1198,0,0,-69,-69,-69,-69,0.1332,0.0336,0.0,0.0,
2.4e+01s,683,628,0,0,-69,-69,-69,-69,0.4202,0.4202,0.0,0.0,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,1329,1083,0,0,-69,-69,-69,-69,0.6696,0.6696,0.0,0.0,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,567,622,0,0,-69,-69,-69,-69,0.4202,0.4202,0.0,0.0,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5e+01s,2243,1934,0,0,-69,-69,-69,-69,0.8592,0.8592,0.0,0.0,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,1238,1022,0,0,-69,-69,-69,-69,0.8183,0.6696,0.0,0.0,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,2956,2703,0,0,-69,-69,-69,-69,0.972,0.972,0.0,0.0,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,2153,1825,0,0,-69,-69,-69,-69,0.8592,0.8592,0.0,0.0,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.6e+01s,3423,3246,0,0,-69,-69,-69,-69,0.998,0.998,0.0,0.0,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,2876,2531,0,0,-69,-69,-69,-69,0.972,0.972,0.0,0.0,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.7e+01s,3614,3505,0,0,-69,-69,-69,-69,0.9349,0.9349,0.0,0.0,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,3343,3050,0,0,-69,-69,-69,-69,0.998,0.998,0.0,0.0,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.7e+01s,3490,3455,0,0,-69,-69,-69,-69,0.7883,0.7883,0.0,0.0,-69,-69,-69,-69,
2.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,3539,3315,0,0,-69,-69,-69,-69,0.9349,0.9349,0.0,0.0,
2.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,3098,3099,0,0,-69,-69,-69,-69,0.5712,0.5712,0.0,0.0,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,3411,3270,0,0,-69,-69,-69,-69,0.7883,0.7883,0.0,0.0,
2.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,2416,2476,0,0,-69,-69,-69,-69,0.3031,0.3031,0.0,0.0,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8e+01s,-69,-69,-69,-69,3005,2936,0,0,-69,-69,-69,-69,0.5712,0.5712,0.0,0.0,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,1447,1513,0,0,-69,-69,-69,-69,0.008,0.008,0.0,0.0,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,2314,2322,0,0,-69,-69,-69,-69,0.3031,0.3031,0.0,0.0,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9e+01s,-69,-69,-69,-69,1329,1333,0,0,-69,-69,-69,-69,0.008,0.008,0.0,0.0,
3e+01s,702,656,0,0,-69,-69,-69,-69,0.3821,0.3821,0.0,0.0,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,1205,959,0,0,-69,-69,-69,-69,0.6381,0.6381,0.0,0.0,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,673,606,0,0,-69,-69,-69,-69,0.3821,0.3821,0.0,0.0,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1e+01s,2145,1852,0,0,-69,-69,-69,-69,0.8371,0.8371,0.0,0.0,-69,-69,-69,-69,
3.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1e+01s,-69,-69,-69,-69,1143,913,0,0,-69,-69,-69,-69,0.6381,0.6381,0.0,0.0,
3.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1e+01s,2904,2638,0,0,-69,-69,-69,-69,0.9614,0.9614,0.0,0.0,-69,-69,-69,-69,
3.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1e+01s,-69,-69,-69,-69,2046,1709,0,0,-69,-69,-69,-69,0.8371,0.8371,0.0,0.0,
3.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,3405,3208,0,0,-69,-69,-69,-69,0.0,0,0,0,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,2801,2471,0,0,-69,-69,-69,-69,0.9614,0.9614,0.0,0.0,
3.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,3640,3515,0,0,-69,-69,-69,-69,0.9756,0.9756,0.0,0.0,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2e+01s,-69,-69,-69,-69,3314,3013,0,0,-69,-69,-69,-69,0.9998,0.9998,0.0,0.0,
3.2e+01s,3622,3572,0,0,-69,-69,-69,-69,0.8672,0.8672,0.0,0.0,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,3547,3324,0,0,-69,-69,-69,-69,0.9488,0.9488,0.0,0.0,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,3346,3351,0,0,-69,-69,-69,-69,0.6813,0.6813,0.0,0.0,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,-69,-69,-69,-69,3469,3333,0,0,-69,-69,-69,-69,0.8132,0.8132,0.0,0.0,
3.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.3e+01s,2798,2850,0,0,-69,-69,-69,-69,0.4346,0.4346,0.0,0.0,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,3098,3030,0,0,-69,-69,-69,-69,0.6048,0.6048,0.0,0.0,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,1968,2020,0,0,-69,-69,-69,-69,0.149,0.149,0.0,0.0,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,2433,2444,0,0,-69,-69,-69,-69,0.3425,0.3425,0.0,0.0,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,1495,1564,0,0,-69,-69,-69,-69,0.0495,0.0495,0.0,0.0,
3.5e+01s,344,307,0,0,-69,-69,-69,-69,0.2478,0.2478,0.0,0.0,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,881,833,0,0,-69,-69,-69,-69,0.6055,0.6055,0.0,0.0,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5e+01s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.3433,0.3433,0.0,0.0,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,1993,1723,0,0,-69,-69,-69,-69,0.8137,0.8137,0.0,0.0,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,1098,994,0,0,-69,-69,-69,-69,0.682,0.682,0.0,0.0,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,2827,2522,0,0,-69,-69,-69,-69,0.9491,0.9491,0.0,0.0,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,2169,1859,0,0,-69,-69,-69,-69,0.8676,0.8676,0.0,0.0,
3.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,3371,3149,0,0,-69,-69,-69,-69,0.9998,0.9998,0.0,0.0,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,2920,2577,0,0,-69,-69,-69,-69,0.9758,0.9758,0.0,0.0,
3.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,3651,3498,0,0,-69,-69,-69,-69,0.9612,0.9612,0.0,0.0,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7e+01s,-69,-69,-69,-69,3393,3104,0,0,-69,-69,-69,-69,0.9968,0.9968,0.0,0.0,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.8e+01s,3614,3536,0,0,-69,-69,-69,-69,0.8367,0.8367,0.0,0.0,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,3571,3375,0,0,-69,-69,-69,-69,0.9288,0.9288,0.0,0.0,
3.8e+01s,3289,3260,0,0,-69,-69,-69,-69,0.6374,0.6374,0.0,0.0,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.8e+01s,-69,-69,-69,-69,3435,3319,0,0,-69,-69,-69,-69,0.7778,0.7778,0.0,0.0,
3.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9e+01s,2689,2736,0,0,-69,-69,-69,-69,0.3813,0.3813,0.0,0.0,-69,-69,-69,-69,
3.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9e+01s,-69,-69,-69,-69,3010,2971,0,0,-69,-69,-69,-69,0.5573,0.5573,0.0,0.0,
3.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9e+01s,1797,1839,0,0,-69,-69,-69,-69,0.091,0.091,0.0,0.0,-69,-69,-69,-69,
3.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9e+01s,-69,-69,-69,-69,2288,2308,0,0,-69,-69,-69,-69,0.2871,0.2871,0.0,0.0,
3.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,354,331,0,0,1266,1304,0,0,0.304,0.304,0.0,0.0,0.0089,0.0089,0.0,0.0,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,1004,883,0,0,-69,-69,-69,-69,0.651,0.651,0.0,0.0,-69,-69,-69,-69,
4.1e+01s,-69,-69,-69,-69,651,637,0,0,-69,-69,-69,-69,0.3976,0.3976,0.0,0.0,
4.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,2180,1894,0,0,-69,-69,-69,-69,0.8462,0.8462,0.0,0.0,-69,-69,-69,-69,
4.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,-69,-69,-69,-69,1192,970,0,0,-69,-69,-69,-69,0.651,0.651,0.0,0.0,
4.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1e+01s,2980,2706,0,0,-69,-69,-69,-69,0.9659,0.9659,0.0,0.0,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,2119,1777,0,0,-69,-69,-69,-69,0.8462,0.8462,0.0,0.0,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,3475,3275,0,0,-69,-69,-69,-69,0.9993,0.9993,0.0,0.0,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,2869,2540,0,0,-69,-69,-69,-69,0.9659,0.9659,0.0,0.0,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2e+01s,3693,3572,0,0,-69,-69,-69,-69,0.9434,0.9434,0.0,0.0,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,3366,3081,0,0,-69,-69,-69,-69,0.9993,0.9993,0.0,0.0,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3e+01s,3595,3553,0,0,-69,-69,-69,-69,0.8033,0.8033,0.0,0.0,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,3594,3380,0,0,-69,-69,-69,-69,0.9434,0.9434,0.0,0.0,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3e+01s,3216,3227,0,0,-69,-69,-69,-69,0.5914,0.5914,0.0,0.0,-69,-69,-69,-69,
4.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,3496,3371,0,0,-69,-69,-69,-69,0.8033,0.8033,0.0,0.0,
4.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,2563,2619,0,0,-69,-69,-69,-69,0.3266,0.3266,0.0,0.0,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,3109,3057,0,0,-69,-69,-69,-69,0.5914,0.5914,0.0,0.0,
4.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,1585,1649,0,0,-69,-69,-69,-69,0.0327,0.0327,0.0,0.0,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4e+01s,-69,-69,-69,-69,2418,2425,0,0,-69,-69,-69,-69,0.3266,0.3266,0.0,0.0,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,1452,1514,0,0,-69,-69,-69,-69,0.0672,0.0327,0.0,0.0,
4.5e+01s,747,613,0,0,-69,-69,-69,-69,0.3591,0.3591,0.0,0.0,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,1141,898,0,0,-69,-69,-69,-69,0.6188,0.6188,0.0,0.0,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,695,646,0,0,-69,-69,-69,-69,0.3591,0.3591,0.0,0.0,
4.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,2116,1791,0,0,-69,-69,-69,-69,0.8233,0.8233,0.0,0.0,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6e+01s,-69,-69,-69,-69,1048,904,0,0,-69,-69,-69,-69,0.6188,0.6188,0.0,0.0,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7e+01s,2913,2623,0,0,-69,-69,-69,-69,0.9543,0.9543,0.0,0.0,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,2025,1690,0,0,-69,-69,-69,-69,0.8233,0.8233,0.0,0.0,
4.7e+01s,3447,3232,0,0,-69,-69,-69,-69,1.0,1.0,0.0,0.0,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7e+01s,-69,-69,-69,-69,2794,2469,0,0,-69,-69,-69,-69,0.9543,0.9543,0.0,0.0,
4.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.8e+01s,3704,3566,0,0,-69,-69,-69,-69,0.9808,0.9808,0.0,0.0,-69,-69,-69,-69,
4.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.8e+01s,-69,-69,-69,-69,3334,3038,0,0,-69,-69,-69,-69,1.0,1.0,0.0,0.0,
4.8e+01s,3715,3634,0,0,-69,-69,-69,-69,0.8793,0.8793,0.0,0.0,-69,-69,-69,-69,
